ID,Nombre,Edad,Ciudad,Genero,Categoria,Compras,ValorCompra,Estado
53,Karen Vargas,53.0, bogota ,Masculino,Premium,12,750000.0,Activo
54,Felipe Jiménez,41.0,Cartagena,Masculino,Corporativo,3,150000.0,Inactivo
55,Sara Moreno,41.0,Medellín,Femenino,Estándar,11,1200000.0,Activo
56,Alejandro Ortiz,40.0,Cartagena,Femenino,Estándar,4,750000.0,  Activo  
57,Paola Cárdenas,44.0,Medellín,Masculino,Básica,7,1200000.0,Inactivo
58,Sebastián Medina,28.0,Barranquilla,Masculino,Corporativo,1,4500000.0,Activo
59,Valeria Ruiz,30.0,Quibdó,Mujer,Básica,4,1200000.0,Activo
60,Mauricio Suárez,60.0,Cali,Femenino,Básica,0,300000.0,Inactivo
61,Camilo Arias,40.0,Barranquilla,Femenino,Básica,1,300000.0,Inactivo
62,María Vélez,29.0,Cartagena,Femenino,basica,2,7200000.0,Inactivo
63,David Álvarez,40.0,Barranquilla,Femenino,Corporativo,10,5500000.0,Activo
64,Isabel Muñoz,42.0,Cartagena,Masculino,Básica,1,3200000.0,
65,Jhon Valencia,51.0,Cartagena,Masculino,Básica,7,300000.0,Inactivo
66,Laura Salazar,57.0,Bogotá,Masculino,Básica,9,1800000.0,Inactivo
67,Andrés Navarro,38.0,Quibdó,Femenino,Estándar,4,3200000.0,Inactivo
68,Claudia Molina,61.0,BOGOTA,Masculino,Básica,7,5500000.0,Activo
69,Mateo Franco,37.0,Bogotá,Masculino,Corporativo,10,7200000.0,Inactivo
70,Sofía Pineda,47.0,Quibdó,Femenino,Estándar,9,4500000.0,Activo
71,Nicolás Quintero,60.0,Medellín,Femenino,Básica,2,1200000.0, activo 
72,Gabriela Cabrera,32.0,Cali,Masculino,Premium,1,1200000.0,Inactivo
73,Juan Ospina,57.0,Medellín,Femenino,Corporativo,11,-800000.0,Activo
74,Manuela Montoya,63.0,Barranquilla, masculino ,Corporativo,7,1200000.0,Activo
75,Carlos Duque,59.0,Barranquilla,Masculino,Premium,7,1200000.0,Activo
76,Natalia Correa,69.0,Barranquilla,Femenino,corporativo ,9,1200000.0,Activo
77,Santiago Giraldo,47.0,Cali,Femenino,Básica,8,7200000.0,Inactivo
78,Juliana Zapata,53.0,Quibdó,Masculino,Corporativo,8,1800000.0,Activo
79,Miguel Bedoya,58.0,quibdo,Femenino,Estándar,5,4500000.0,Activo
80,Paula Marín,63.0,Bogotá,Masculino,Básica,6,2500000.0,Activo
81,Jorge Mejía,26.0,Cali,Masculino,Corporativo,12,750000.0,Activo
82,Daniela Pérez,22.0,Quibdó,Femenino,Básica,9,4500000.0,Inactivo
83,Esteban López,104.0,Cali,Femenino,Corporativo,10,150000.0,Inactivo
84,Lucía Gómez,48.0,Medellín,Femenino,Básica,7,3200000.0,Activo
85,Tomás Torres,49.0,Cali,Femenino,CORPORATIVO,8,150000.0,Inactivo
86,Carolina Castro,39.0,Barranquilla,Femenino,Estándar,8,750000.0,Activo
87,Samuel Herrera,43.0,Cartagena,Masculino,Premium,11,3200000.0,Activo
88,Elena Sánchez,47.0,Cali,Masculino,Básica,7,2500000.0,Activo
89,Martín Rojas,47.0,Bogotá,Femenino,Corporativo,5,3200000.0,inactivo 
90,Victoria Vargas,23.0,Quibdó,Masculino,Premium,6,,Activo
91,Luis Jiménez,67.0,Barranquilla,Masculino,Premium,4,1200000.0,Activo
92,Andrea Moreno,57.0,Cali, femenino ,Estándar,8,300000.0,Activo
93,Ricardo Ortiz,47.0,Barranquilla,Femenino,Básica,3,7200000.0,Activo
94,Mónica Cárdenas,67.0,Cali,Femenino,Premium,10,150000.0,Inactivo
95,Cristian Medina,54.0,Barranquilla,Femenino,Corporativo,12,1200000.0,Activo
96,Diana Ruiz,55.0,Barranquilla,Masculino,Premium,12,1800000.0,Activo
97,Julián Suárez,68.0,QUIBDÓ,Masculino,Básica,9,3200000.0,Inactivo
98,Adriana Arias,22.0,Cartagena,Femenino,Premium,7,4500000.0,Activo
99,Kevin Vélez,45.0,Bogotá,Femenino,Estándar,7,750000.0,Inactivo
100,Tatiana Álvarez,57.0,Cartagena,Femenino,Corporativo,7,7200000.0,Inactivo
101,Melissa Muñoz,38.0,Cali,Masculino,Básica,8,1200000.0,Inactivo
102,Diego Valencia,54.0,Cartagena,Femenino,Básica,0,4500000.0,Inactivo
103,Luisa Salazar,29.0,Quibdó,Masculino,Básica,5,2500000.0,Inactivo
104,Brayan Navarro,56.0,Barranquilla,Femenino,Premium,9,1200000.0,Activo
105,Karen Molina,33.0,Barranquilla,Femenino,Corporativo,9,1200000.0,Inactivo
106,Felipe Franco,59.0,Barranquilla,Femenino,Corporativo,1,300000.0,Inactivo
107,Valeria Pineda,32.0,Quibdó,Masculino,Básica,11,7200000.0,Inactivo
108,Mauricio Quintero,48.0,Cartagena,Femenino,Corporativo,12,5500000.0,Inactivo
109,Camilo Cabrera,-3.0,Barranquilla,Femenino,Básica,5,1800000.0,Activo
110,María Ospina,25.0,Barranquilla,Masculino,Básica,2,5500000.0,Activo
111,Jhon Montoya,30.0,Cali,Femenino,Básica,12,7200000.0,Inactivo
112,Claudia Duque,24.0,Cali,Femenino,Estándar,6,750000.0,Inactivo
113,Mateo Correa,18.0,Barranquilla,Masculino,Básica,1,150000.0,Inactivo
114,Sofía Giraldo,62.0,Cali,Femenino,Premium,1,7200000.0,Inactivo
115,Andrés Zapata,48.0,Quibdó,Femenino,Básica,3,-1500000.0,Inactivo
116,Laura Bedoya,48.0,Medellín,Masculino,Corporativo,8,300000.0,Activo
117,Nicolás Marín,27.0,Cali,Femenino,Premium,4,300000.0,Inactivo
118,Gabriela Mejía,56.0,Cartagena,Masculino,Corporativo,8,4500000.0,Inactivo
119,Juan Pérez,55.0,Quibdó,Femenino,Premium,10,300000.0,Activo
120,Ana García,58.0,Cali,Femenino,Premium,3,1200000.0,Activo
121,Carlos Rodríguez,53.0,Medellín,Masculino,Premium,7,4500000.0,Inactivo
13,Isabella Rojas,35.0,Medellín,Masculino,Básica,4,4500000.0,Inactivo
58,Sebastián Medina,28.0,Barranquilla,Masculino,Corporativo,1,4500000.0,Activo
